Elizabeth	F	1939	1880
Bertha	F	1320	1880
Charles	M	5348	1880
Henry	M	2444	1880
Elizabeth	F	1852	1881
Bertha	F	1324	1881
George	M	4664	1881
Thomas	M	2282	1881
Elizabeth	F	2186	1882
Bertha	F	1508	1882
George	M	5193	1882
Henry	M	2579	1882
Elizabeth	F	2255	1883
Annie	F	1589	1883
Charles	M	4826	1883
Robert	M	2334	1883
Elizabeth	F	2549	1884
Bertha	F	1789	1884
George	M	4961	1884
Henry	M	2474	1884
Elizabeth	F	2582	1885
Ida	F	1854	1885
George	M	4674	1885
Robert	M	2322	1885
Elizabeth	F	2680	1886
Clara	F	1916	1886
George	M	4671	1886
Henry	M	2404	1886
Emma	F	2647	1887
Florence	F	1964	1887
George	M	4284	1887
Thomas	M	2151	1887
Emma	F	3087	1888
Ethel	F	2374	1888
George	M	4912	1888
Harry	M	2759	1888
Margaret	F	2917	1889
Bessie	F	2343	1889
George	M	4430	1889
Robert	M	2513	1889
Margaret	F	3100	1890
Clara	F	2496	1890
George	M	4458	1890
Henry	M	2349	1890
Elizabeth	F	3059	1891
Helen	F	2417	1891
George	M	3931	1891
Harry	M	2132	1891
Margaret	F	3435	1892
Helen	F	2936	1892
George	M	4760	1892
Harry	M	2460	1892
Margaret	F	3565	1893
Emma	F	2968	1893
George	M	4320	1893
Edward	M	2309	1893
Helen	F	3676	1894
Emma	F	2937	1894
George	M	4365	1894
Henry	M	2278	1894
Margaret	F	3931	1895
Marie	F	3011	1895
George	M	4289	1895
Henry	M	2221	1895
Margaret	F	4050	1896
Marie	F	3087	1896
George	M	4286	1896
Edward	M	2296	1896
Margaret	F	4146	1897
Marie	F	3078	1897
George	M	4078	1897
Edward	M	2121	1897
Margaret	F	4696	1898
Marie	F	3435	1898
George	M	4853	1898
Edward	M	2337	1898
Margaret	F	4249	1899
Ethel	F	2999	1899
George	M	4018	1899
Edward	M	1901	1899
Margaret	F	5304	1900
Marie	F	3856	1900
George	M	5403	1900
Edward	M	2720	1900
Margaret	F	4424	1901
Ethel	F	3067	1901
George	M	3609	1901
Edward	M	1917	1901
Margaret	F	5011	1902
Ethel	F	3295	1902
George	M	4223	1902
Edward	M	2294	1902
Margaret	F	5046	1903
Ethel	F	3257	1903
George	M	3961	1903
Edward	M	2268	1903
Margaret	F	5302	1904
Mildred	F	3525	1904
George	M	4219	1904
Edward	M	2334	1904
Anna	F	5424	1905
Marie	F	3643	1905
George	M	4256	1905
Edward	M	2366	1905
Anna	F	5502	1906
Mildred	F	3873	1906
George	M	4201	1906
Edward	M	2398	1906
Anna	F	5575	1907
Alice	F	4107	1907
George	M	4445	1907
Edward	M	2576	1907
Ruth	F	6180	1908
Alice	F	4270	1908
George	M	4584	1908
Edward	M	2707	1908
Ruth	F	6509	1909
Marie	F	4301	1909
George	M	4688	1909
Edward	M	2935	1909
Dorothy	F	7318	1910
Marie	F	4790	1910
Robert	M	5609	1910
Edward	M	3408	1910
Dorothy	F	8869	1911
Marie	F	5017	1911
George	M	6586	1911
Edward	M	4164	1911
Margaret	F	12536	1912
Frances	F	6680	1912
Robert	M	12836	1912
Frank	M	7912	1912
Margaret	F	14486	1913
Frances	F	7694	1913
Robert	M	15684	1913
Frank	M	9237	1913
Margaret	F	17763	1914
Frances	F	9677	1914
Robert	M	21188	1914
Frank	M	12002	1914
Margaret	F	23054	1915
Frances	F	12787	1915
Robert	M	28738	1915
Frank	M	15006	1915
Margaret	F	24953	1916
Frances	F	13746	1916
Robert	M	31741	1916
Frank	M	15291	1916
Margaret	F	25560	1917
Frances	F	14363	1917
Robert	M	35220	1917
Frank	M	15769	1917
Margaret	F	27139	1918
Elizabeth	F	15853	1918
Robert	M	40620	1918
Frank	M	17017	1918
Margaret	F	26237	1919
Frances	F	15107	1919
Robert	M	41027	1919
Frank	M	15702	1919
Margaret	F	27996	1920
Frances	F	15883	1920
James	M	47912	1920
Frank	M	16430	1920
Margaret	F	28467	1921
Frances	F	15993	1921
James	M	49748	1921
Frank	M	16708	1921
Margaret	F	26865	1922
Elizabeth	F	15242	1922
James	M	49801	1922
Richard	M	17539	1922
Margaret	F	26133	1923
Elizabeth	F	15461	1923
James	M	50463	1923
Richard	M	18884	1923
Betty	F	30599	1924
Doris	F	15785	1924
James	M	52939	1924
Edward	M	21128	1924
Helen	F	29172	1925
Mildred	F	14451	1925
James	M	52682	1925
Edward	M	20089	1925
Helen	F	26884	1926
Mildred	F	13551	1926
William	M	51920	1926
Donald	M	20912	1926
Helen	F	25320	1927
Shirley	F	13315	1927
William	M	51482	1927
Joseph	M	23506	1927
Helen	F	22934	1928
Virginia	F	14501	1928
William	M	49117	1928
Joseph	M	22311	1928
Helen	F	20985	1929
Shirley	F	14579	1929
William	M	47805	1929
Joseph	M	21162	1929
Helen	F	19914	1930
Doris	F	15464	1930
William	M	47265	1930
Joseph	M	20981	1930
Barbara	F	21797	1931
Shirley	F	14405	1931
William	M	43276	1931
Joseph	M	19330	1931
Dorothy	F	24974	1932
Shirley	F	14476	1932
William	M	42117	1932
Joseph	M	18563	1932
Dorothy	F	22047	1933
Shirley	F	14315	1933
William	M	39049	1933
Joseph	M	17162	1933
Shirley	F	22840	1934
Helen	F	14100	1934
William	M	40170	1934
Thomas	M	17369	1934
Betty	F	28673	1935
Nancy	F	14544	1935
William	M	40198	1935
Thomas	M	17680	1935
Betty	F	25866	1936
Margaret	F	14594	1936
William	M	39386	1936
George	M	18195	1936
Shirley	F	26816	1937
Joan	F	15299	1937
William	M	40713	1937
Thomas	M	19775	1937
Betty	F	25504	1938
Margaret	F	15330	1938
William	M	42422	1938
Thomas	M	21376	1938
Betty	F	23641	1939
Dorothy	F	15171	1939
William	M	42077	1939
Thomas	M	22128	1939
Judith	F	22382	1940
Shirley	F	17878	1940
William	M	44768	1940
Donald	M	23106	1940
Carol	F	24181	1941
Sandra	F	19498	1941
William	M	47789	1941
Ronald	M	24399	1941
Linda	F	31611	1942
Betty	F	21653	1942
William	M	54884	1942
Ronald	M	27134	1942
Linda	F	38439	1943
Nancy	F	23990	1943
William	M	55898	1943
Ronald	M	29235	1943
Patricia	F	36877	1944
Sharon	F	22430	1944
William	M	52369	1944
Michael	M	26720	1944
Patricia	F	35839	1945
Judith	F	20189	1945
William	M	50213	1945
Michael	M	29899	1945
Barbara	F	45122	1946
Sharon	F	27824	1946
William	M	60038	1946
Charles	M	38203	1946
Barbara	F	48792	1947
Sharon	F	28535	1947
William	M	66989	1947
Charles	M	40770	1947
Patricia	F	46136	1948
